%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3
1629153481692377278,8548,852698000000,,842731470.0,842731492.0,842731517.0,842731519.0
1629153481705196990,8549,852728000000,,842760973.0,842760995.0,842761021.0,842761022.0
1629153481718102678,8550,852738000000,,842771273.0,842771295.0,842771321.0,842771322.0
1629153481731085541,8551,852948000000,,842978392.0,842978414.0,842978440.0,842979157.0
1629153481743940942,8552,852948000000,,842978392.0,842978414.0,842978440.0,842979157.0
1629153481756800325,8553,852958000000,,842988797.0,842988819.0,842988845.0,842988846.0
1629153481769722775,8554,853018000000,,843046674.0,843046696.0,843046721.0,843047435.0
1629153481782646552,8555,853018000000,,843046674.0,843046696.0,843046721.0,843047435.0
1629153481796924845,8556,853030000000,,843059367.0,843059423.0,843059449.0,843060168.0
1629153481809788837,8557,853050000000,,843079361.0,843079381.0,843079407.0,843080139.0
1629153481822689705,8558,853050000000,,843079361.0,843079381.0,843079407.0,843080139.0
1629153481835621025,8559,853068000000,,843096204.0,843096226.0,843096251.0,843096983.0
1629153481848553951,8560,853080000000,,843108517.0,843108537.0,843108562.0,843109298.0
1629153481862087239,8561,853080000000,,843108517.0,843108537.0,843108562.0,843109298.0
1629153481875009131,8562,853089000000,,843117557.0,843117577.0,843117602.0,843117604.0
1629153481888079715,8563,853099000000,,843127706.0,843127726.0,843127751.0,843127753.0
1629153481889764444,8564,853110000000,,843138623.0,843138643.0,843138668.0,843139384.0
1629153481902877074,8565,853139000000,,843168312.0,843168333.0,843168368.0,843168370.0
1629153481916048650,8566,853149000000,,843176431.0,843176451.0,843176477.0,843178026.0
1629153481929291047,8567,853169000000,,843197788.0,843197810.0,843197835.0,843197836.0
1629153481955268925,8568,853178000000,,843205156.0,843205180.0,843205205.0,843205918.0
1629153481968233560,8569,853210000000,,843237501.0,843237524.0,843237551.0,843238284.0
1629153481982514158,8570,853210000000,,843237501.0,843237524.0,843237551.0,843238284.0
