%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2
1629424738768765659,1173,122548000000,,1.02499496937,0.00591870769858,-0.0176254063845
1629424738796046445,1174,122600000000,,1.02499771118,0.00596130918711,-0.00801028683782
1629424738822272756,1175,122631000000,,1.02499842644,0.00596243329346,-0.00746522471309
1629424738835432042,1176,122631000000,,1.02499842644,0.00596243329346,-0.00746522471309
1629424738970583146,1177,122788000000,,1.02499711514,0.00592037197202,-0.0180467776954
1629424738983606938,1178,122798000000,,1.02499699593,0.00692061986774,-0.0179958492517
1629424738999594967,1179,122828000000,,1.02499520779,0.00587565684691,-0.0287543125451
1629424739012586003,1180,122838000000,,1.02499687672,0.00594396796077,-0.0122329480946
1629424739025058463,1181,122838000000,,1.02499687672,0.00594396796077,-0.0122329480946
1629424739050425088,1182,122878000000,,1.0249979496,0.00596171896905,-0.00799092650414
1629424739103088913,1183,122918000000,,1.02499806881,0.00596223725006,-0.0078355986625
1629424739115714466,1184,122918000000,,1.02499806881,0.00596223725006,-0.0078355986625
1629424739141368212,1185,122958000000,,1.02499818802,0.00596187543124,-0.00786759890616
1629424739180944339,1186,122998000000,,1.02499854565,0.00591827556491,-0.0168421082199
1629424739195690855,1187,123028000000,,1.02499949932,0.00592171959579,-0.016591090709
1629424739274209431,1188,123118000000,,1.02500200272,0.00591971818358,-0.0169125311077
1629424739289857957,1189,123128000000,,1.02500283718,0.00591540895402,-0.0179059058428
1629424739302775799,1190,123158000000,,1.0250043869,0.00591186759993,-0.0185456685722
1629424739315813350,1191,123158000000,,1.0250043869,0.00591186759993,-0.0185456685722
1629424739353854139,1192,123208000000,,1.02500450611,0.00592069234699,-0.0162972956896
1629424739366848459,1193,123208000000,,1.02500450611,0.00592069234699,-0.0162972956896
1629424739395228209,1194,123248000000,,1.02500188351,0.00596136786044,-0.00760167464614
1629424739420929098,1195,123288000000,,1.02500522137,0.00591475144029,-0.0183121450245
1629424739460654826,1196,123328000000,,1.02500212193,0.00595898693427,-0.00826115719974
1629424739473626028,1197,123338000000,,1.02500212193,0.00596121139824,-0.0077563803643
1629424739489347958,1198,123368000000,,1.02500247955,0.00596262980253,-0.00754745677114
1629424739553638245,1199,123439000000,,1.02500271797,0.00596209149808,-0.00790744274855
1629424739566060070,1200,123439000000,,1.02500271797,0.00596209149808,-0.00790744274855
1629424739578544752,1201,123458000000,,1.02500271797,0.0059628887102,-0.00782372802496
1629424739632686852,1202,123538000000,,1.02500295639,0.00596134830266,-0.00822538137436
1629424739645325396,1203,123538000000,,1.02500295639,0.00596134830266,-0.00822538137436
1629424739657921616,1204,123578000000,,1.02500677109,0.00591896474361,-0.0185671523213
1629424739670951625,1205,123589000000,,1.02500283718,0.00596105866134,-0.00829136557877
1629424739684001608,1206,123618000000,,1.02500295639,0.00596302282065,-0.00778565555811
1629424739738844713,1207,123658000000,,1.02500355244,0.00696084555238,-0.00720756314695
1629424739819851412,1208,123708000000,,1.02500474453,0.00694692740217,-0.00814620405436
1629424739858406098,1209,123779000000,,1.02700281143,0.00896578002721,0.0146293863654
1629424739898251954,1210,123828000000,,1.02700424194,0.00796588882804,0.0361752323806
1629424739963967019,1211,123890000000,,1.02700376511,0.00796724762768,0.0742565616965
1629424739976868588,1212,123890000000,,1.02700376511,0.00796724762768,0.0742565616965
1629424739991418080,1213,123890000000,,1.02700376511,0.00796724762768,0.0742565616965
1629424740004958075,1214,123890000000,,1.02700376511,0.00796724762768,0.0742565616965
1629424740138281902,1215,124059000000,,1.02500450611,0.0199550166726,0.234383270144
1629424740218619444,1216,124111000000,,1.02400624752,0.0279642008245,0.286403208971
1629424740257964952,1217,124150000000,,1.02400612831,0.0339646674693,0.331328034401
1629424740270854648,1218,124191000000,,1.02400803566,0.0419613979757,0.374546587467
1629424740298755701,1219,124218000000,,1.0240265131,0.0448922812939,0.36671859026
1629424740338029341,1220,124261000000,,1.02300798893,0.0599628053606,0.449263691902
1629424740418652956,1221,124298000000,,1.02301776409,0.0669281557202,0.470478832722
1629424740513374464,1222,124408000000,,1.01901984215,0.0989249423146,0.571072101593
1629424740526273169,1223,124408000000,,1.01901984215,0.0989249423146,0.571072101593
1629424740539053073,1224,124418000000,,1.01800918579,0.101963706315,0.589946508408
1629424740618631712,1225,124498000000,,1.01401007175,0.124962687492,0.648936152458
1629424740657578212,1226,124538000000,,1.01001036167,0.135962337255,0.672906696796
1629424740670253772,1227,124598000000,,1.00402486324,0.151913061738,0.691587924957
1629424740698599859,1228,124618000000,,1.00202250481,0.155920132995,0.702408134937
1629424740711352036,1229,124648000000,,0.998019993305,0.162928164005,0.715415120125
1629424740763392031,1230,124688000000,,0.991023898125,0.171915724874,0.7247838974
1629424740776393963,1231,124688000000,,0.991023898125,0.171915724874,0.7247838974
1629424740804795923,1232,124728000000,,0.984021008015,0.179927438498,0.73655295372
1629424740844468990,1233,124808000000,,0.967022061348,0.192922770977,0.747086405754
1629424740856996695,1234,124808000000,,0.967022061348,0.192922770977,0.747086405754
1629424740938196646,1235,124858000000,,0.953022301197,0.198926776648,0.749555945396
1629424740951223931,1236,124878000000,,0.948011100292,0.200962647796,0.759185731411
1629424740964924772,1237,124878000000,,0.948011100292,0.200962647796,0.759185731411
1629424741005578002,1238,124928000000,,0.933011233807,0.203963413835,0.759236991405
1629424741018646564,1239,124938000000,,0.930011689663,0.203963279724,0.759153187275
1629424741058040682,1240,125008000000,,0.908011972904,0.205962479115,0.755879759789
1629424741112899641,1241,125048000000,,0.894017517567,0.204945012927,0.74899750948
